# scripts/production_scraper/master_list.txt
#
# Production scraper master address list — synced from KK's Obsidian:
#   docs/lot-ledger/Master Scraper List Updated 05_26_26.md
#
# Edits to THIS file take effect on the NEXT run start. Mid-run edits do
# NOT affect the current pass — the queue is snapshotted at startup.
#
# Spec: docs/propelio/PRODUCTION_SCRAPER_SPEC.md (v1.2 locked)

309 E LLOYD ST, KRUM, TX, 76249-9704
9521 BREEZY RD, KRUM, TX, 76249-4246
7321 DONALD RD, KRUM, TX, 76249-8009
4041 MEADOW VISTA CIR, CELINA, TX, 75009
1016 POLO DR, AUBREY, TX, 76227
5440 BRIDLE PATH, AUBREY, TX, 76227-4400
5409 LOCKE DR, DENTON, TX, 76207
1619 MADELINE LN, KRUM, TX, 76249
7249 JANE LONG RD, SANGER, TX, 76266-7194
12010 PRUETT RD, KRUM, TX, 76249-3318
14149 KEMPT DR, PILOT POINT , TX, 76258
222 QUAIL RUN , AUBREY, TX, 76227-4803
7202 SOMERSET LN, AUBREY, TX, 76227-3200
4120 AUSTIN CIR, SANGER, TX, 76266
910 JOHN GEORGE LN, SANGER, TX, 76266
13480 PR 5805 , PILOT POINT, TX, 76258
9480 SAINT JOHNS CT, PILOT POINT, TX, 76258
212 4TH ST, SANGER, TX, 76266
6679 BOB WHITE WAY, SANGER, TX, 76266-3979
10455 ATCHESON RD, DECATUR, TX, 76234
10988 MERLIN DR, SANGER, TX, 76266-3923
12023 ELM CREEK RD, PILOT POINT, TX, 76258-6839
217 S SHERMAN ST, PILOT POINT, TX, 76258-4505
13757 FAIRVIEW RD, VALLEY VIEW, TX, 76272-8917
13445 METZ RD, SANGER, TX, 76266
4705 SPRING LAKE PKWY, MANSFIELD, TX
2610 MULBERRY DR, MANSFIELD, TX
210 W OAK ST, MANSFIELD, TX
1008 FOX WILLOW CT, BURLESON, TX
3850 EDEN RD S, KENNEDALE, TX
4421 NORCROSS LN, FORT WORTH, TX
414 CHIMNEY HILL CIR, MANSFIELD, TX
417 ANDENWOOD DR, EVERMAN, TX
5201 QUAIL FEATHER DR, FORT WORTH, TX
2924 N CAMINO LAGOS, GRAND PRAIRIE, TX
9315 WATER BEND DR, ARLINGTON, TX
1803 YARMOUTH LN, MANSFIELD, TX
2724 ADAMS FALL LN, FORT WORTH, TX
12350 Wagon Bow Dr, Burleson, TX
6961 Rocky Chris Ct, Benbrook, TX
12417 Bella Vino Dr, Fort Worth, TX
2212 WEBB LYNN RD, ARLINGTON, TX
820 CRYSTAL CREEK LN, ARLINGTON, TX
3814 BOXWOOD CT, ARLINGTON, TX
5005 QUEEN ANN DR, FOREST HILL, TX
509 W BOYCE AVE, FORT WORTH, TX
5001 STILL MEADOW DR, FORT WORTH, TX
5553 CYPRESS WILLOW BEND, FORT WORTH, TX
3308 ROLLING HILLS LN, GRAND PRAIRIE, TX
2910 STRATFORD CT, ARLINGTON, TX
2507 GARY LN, ARLINGTON, TX
3413 RUFUS ST, FORT WORTH, TX
2707 S ADAMS ST, FORT WORTH, TX
2813 MANORWOOD TR, FORT WORTH, TX
4101 SPRINGBRANCH DR, BENBROOK, TX
3032 COYOTE CANYON TR, FORT WORTH, TX
2412 CATALO LN, ARLINGTON, TX
1403 RANDOLPH ST, ARLINGTON, TX
1707 VENETIAN CIR, ARLINGTON, TX
1300 LYRA LN, ARLINGTON, TX
2405 DILLARD ST, FORT WORTH, TX
3104 AVE M, FORT WORTH, TX
928 E MYRTLE ST, FORT WORTH, TX
2314 MISTLETOE AVE, FORT WORTH, TX
5508 WELLESLEY AVE, FORT WORTH, TX
2905 CORTEZ DR, FORT WORTH, TX
1771 HIDDEN BROOK DR, GRAND PRAIRIE, TX
1605 CORVALLIS TR, ARLINGTON, TX
1914 ALAMO DR, ARLINGTON, TX
8812 ROLLING SPRINGS CT, FORT WORTH, TX
821 GREEN HEATH AVE, FORT WORTH, TX
4304 GODDARD ST, FORT WORTH, TX
1217 CLINTON AVE, FORT WORTH, TX
401 HASSETT AVE, RIVER OAKS, TX
813 MCCULLY ST, WHITE SETTLEMENT, TX
10625 PACK SADDLE TR, FORT WORTH, TX
3020 ARBOR OAKS DR, ARLINGTON, TX
515 GILTIN DR, ARLINGTON, TX
9090 SARANAC TR, FORT WORTH, TX
6316 SOLONA CIR N, HALTOM CITY, TX
2568 BRUCE AVE, FORT WORTH, TX
2713 NW 29TH ST, FORT WORTH, TX
3109 SHAWNEE TR, LAKE WORTH, TX
4024 LAKE OAKS CIR, FORT WORTH, TX
918 DOVE TR, EULESS, TX
3732 HACKBERRY LN, BEDFORD, TX
1641 BEDFORDSHIRE, BEDFORD, TX
5317 TIFFIN DR, NO. RICHLAND HILLS, TX
4216 WOODGATE DR, HALTOM CITY, TX
241 PIMLICO WAY, SAGINAW, TX
6425 FERN MEADOW DR, FORT WORTH, TX
421 CALGARY RD, AZLE, TX
4373 KENWOOD DR, GRAPEVINE, TX
5403 JUNIPER CT, COLLEYVILLE, TX
508 HAT CREEK DR, HURST, TX
6436 GREEN RIDGE DR, WATAUGA, TX
8416 PRAIRIE DAWN DR, FORT WORTH, TX
9228 VISTAMILL TR, FORT WORTH, TX
9426 TRANQUIL ACRES RD, Fort Worth, TX
516 LOGAN DR, AZLE, TX
1246 PINE ST, GRAPEVINE, TX
1004 PINE MEADOW CT, SOUTHLAKE, TX
913 INDEPENDENCE PKWY, SOUTHLAKE, TX
711 CLOVER CT, KELLER, TX
2241 FROSTED WILLOW LN, FORT WORTH, TX
11329 BROOK GREEN LN, TX
11517 EAGLE VISTA DR, TX
812 WAYNE TR, Azle, TX
1237 STERLING LN, GRAPEVINE, TX
1916 CAMELOT DR, GRAPEVINE, TX
1501 POST OAK TR, SOUTHLAKE, TX
708 WICKHAM CT, KELLER, TX
3305 COUNT DR, FORT WORTH, TX
301 SUMMER DR, HASLET, TX
13429 NORTHWEST CT, TX
6000 LAKESIDE DR, Fort Worth, TX
13902 BRIARWOOD CT, Azle, TX
